Date,Startup,Industry Vertical,SubVertical,City,Investors Name,InvestmentnType,CR,Year,Month
2015-09-24,Quintype,Data Driven Publishing platform,,Bangalore,raghav bahl,Private Equity,27.225,2015.0,September
2015-09-24,Capabiliti,Employee OnBoarding & Orientation platform,,Noida,"500 startups, smile multimedia, kunal bahl, rohit bansal, girish matrubootham",Seed Funding,3.3,2015.0,September
2015-09-24,Fourth Partner Energy,Solar Power Solutions company,,Hyderabad,"infuse ventures, the chennai angels",Private Equity,16.5,2015.0,September
2015-09-24,Licious,Online Meat Ordering platform,,Bangalore,"kanwaljit singh, tv mohandas pai",Seed Funding,8.25,2015.0,September
2015-09-25,TravelKhana,online meal-booking platform for train travelers,,New Delhi,astarc ventures & others,Seed Funding,0.0,2015.0,September
2015-09-28,Quickli,hyperlocal delivery platform,,New Delhi,"500 startups, mato peric & others",Seed Funding,0.0,2015.0,September
2015-09-28,Ola Cabs,Cab Booking app platform,,Bangalore,didi kuaidi,Private Equity,247.5,2015.0,September
2015-09-29,Paytm,E-Commerce & M-Commerce platform,,New Delhi,"alibaba group, ant financial",Private Equity,5610.0,2015.0,September
2015-09-29,Inmobi,Mobile Advertising platform,,Bangalore,tennenbaum capital partners & others,Private Equity,825.0,2015.0,September
2015-09-29,Peppertap,Hyperlocal Grocery Delivery,,Gurgaon,"sequoia india, saif partners.",Private Equity,297.0,2015.0,September
2015-09-29,Hugefly,Ecommerce Product recommendation platform,,Pune,mayank singhal and others,Seed Funding,0.0,2015.0,September
2015-09-29,Brigge,Activity Based Social Network,,Chennai,the chennai angels,Seed Funding,0.0,2015.0,September
2015-09-29,Zakoopi,Fashion Discovery platform,,New Delhi,uniqorn ventures,Seed Funding,2.8875,2015.0,September
2015-09-29,LoanCircle,Consumer lending marketplace,,Bangalore,"zishaan hayath, rahul khanna & others",Seed Funding,0.0,2015.0,September
2015-09-30,Infoworks,Big Data Management Platform,,Bangalore / USA,"nexus venture partners, knoll ventures and others",Private Equity,41.25,2015.0,September
2015-09-30,RedDoorz,Budget Accommodation Platform,,Noida,jungle ventures,Seed Funding,8.25,2015.0,September
2015-09-30,FirstTouch,Local Mobile OS,,Gurgaon,"kunal bahl, rohit bansal, pranay chulet, naveen tiwari, amit gupta, mayank singhal",Seed Funding,0.0,2015.0,September
2015-09-30,Eywa Media,Digital Signal processing platform,,Bangalore,"ah! ventures, viktor koenig pe fund, mantra ventures",Seed Funding,8.25,2015.0,September
2015-01-08,Snapdeal,Ecommerce Marketplace,,New Delhi,"alibaba, foxconn, softbank",Private Equity,4125.0,2015.0,January
2015-01-08,Ressy,Restaurant Discount app,,Pune,mohandas pai & others,Seed Funding,3.3,2015.0,January
2015-03-08,Cuelearn,Tech-enabled learning,,New Delhi,alok mittal,Seed Funding,0.0,2015.0,March
