Date,Startup,Industry Vertical,SubVertical,City,Investors Name,InvestmentnType,CR,Year,Month
2020-09-01,BYJU’S,E-Tech,E-learning,Bengaluru,tiger global management,Private Equity Round,1650.0,2020.0,September
2020-01-13,Shuttl,Transportation,App based shuttle service,Gurgaon,susquehanna growth equity,Series C,66.3992505,2020.0,January
2020-09-01,Mamaearth,E-commerce,Retailer of baby and toddler products,Bengaluru,sequoia capital india,Series B,151.460595,2020.0,September
2020-02-01,https://www.wealthbucket.in/,FinTech,Online Investment,New Delhi,vinod khatumal,Pre-series A,24.75,2020.0,February
2020-02-01,Fashor,Fashion and Apparel,Embroiled Clothes For Women,Mumbai,sprout venture partners,Seed Round,14.85,2020.0,February
2020-01-13,Pando,Logistics,"Open-market, freight management platform",Chennai,chiratae ventures,Series A,74.25,2020.0,January
2020-10-01,Zomato,Hospitality,Online Food Delivery Platform,Gurgaon,ant financial,Private Equity Round,1237.5,2020.0,October
2019-12-12,Ecozen,Technology,Agritech,Pune,sathguru catalyzer advisors,Series A,49.5,2019.0,December
2019-06-12,CarDekho,E-Commerce,Automobile,Gurgaon,ping an global voyager fund,Series D,577.5,2019.0,June
2019-03-12,Dhruva Space,Aerospace,Satellite Communication,Bengaluru,"mumbai angels, ravikanth reddy",Seed,412.5,2019.0,March
2019-12-13,Rivigo,Technology,Logistics Services and Solutions,Gurgaon,"saif partners, spring canter investment ltd.",Series F,165.0,2019.0,December
2019-12-17,Healthians,B2B-focused foodtech startup,Food Solutions For Corporate,Bengaluru,"paytm, nptk, sabre partners and neoplux",Series C,99.0,2019.0,December
2019-12-16,Licious,E-Commerce,Online Meat And Seafood Ordering Startup,Bengaluru,vertex growth fund,Series E,247.5,2019.0,December
2019-12-16,InCred,Finance,Non-Banking Financial Company,Mumbai,unknown,Debt Funding,48.675,2019.0,December
2019-12-14,Trell,Video,Experience Discovery Platform,Bengaluru,ruizheng investment,Seed Round,16.5,2019.0,December
2019-11-12,Rein Games,Gaming,Real money based gaming startup,Noida,manipal education and medical group (memg),Seed Round,412.5,2019.0,November
2019-12-20,Lenskart.com,E-Commerce,Online Eyewear Shopping Portal,Faridabad,softbank vision fund,Series G,1905.75,2019.0,December
2019-11-13,Freshworks,Software,Business and customer engagement tools,San Francisco,"sequoia, capitalg, accel",Series H,1237.5,2019.0,November
2019-11-14,Misters,Health and wellness,Men's Health and Wellness brand,Gurgaon,"sauce.vc, rainforest ventures",Series B,4.0095,2019.0,November
2019-11-13,Sunstone Eduversity Pvt. Ltd,Education,Elearning,Gurgaon,"prime venture partners, letsventure, ps1 venture and globallogic co-founder rajul garg",Seed,12.375,2019.0,November
2019-11-17,Burger Singh,Food and Beverage,Indian Burger Brand,Gurgaon,rb investments,Venture,0.0,2019.0,November
2019-11-18,Healthians,Health and Wellness,Healthcare services,Gurgaon,"dg daiwa ventures, dg incubation",Series B,99.0,2019.0,November
2019-11-15,Ninjacart,B2B Marketing,Agritech,Bengaluru,trifecta capital advisors,Debt Funding,214.5,2019.0,November
2019-11-20,Aye Finance,FinTech,Financial Services To MSMEs,Gurgaon,fintech,Debt Funding,143.64293625,2019.0,November
2019-12-11,SuperGaming,Video Games,Social gaming platform,Pune,dream incubator,Seed Funding,10.725,2019.0,December
2019-11-20,Clumio,SaaS,Recovery software,"San Jose,","altimeter capital, sutter hill ventures",Series C,1113.75,2019.0,November
2019-11-11,eBikeGo,Last Mile Transportation,Electric bike rental,Amritsar,startup buddy,Seed,2.475,2019.0,November
2019-11-19,Digital Mall Asia,E-Commerce,Virtual e-commerce platform,Delhi,amour infrastructure,Seed Funding,1815.0,2019.0,November
2019-11-18,Medikabazaar,Healthcare,B2B platform for medical supplies,Mumbai,"ackermans & van haaren, healthquad, rebright partners, toppan printing",Series B,130.35,2019.0,November
2019-11-15,Vogo Automotive,Last Mile Transportation,Scooter sharing app,Kormangala,"matrix partners, stellaris venture partners, kalaari capital",Series B,2334.75,2019.0,November
2019-11-19,Furtados School of Music,Education,Music Education,Tulangan,ian fund and dsg consumer partners,,1650.0,2019.0,November
2019-11-25,Paytm,FinTech,Mobile Wallet,Noida,vijay shekhar sharma,Funding Round,8250.0,2019.0,November
2019-04-10,Dunzo,Customer Service,Delivery Service,Bengaluru,lightbox,Series D,371.25,2019.0,April
2019-02-10,Udaan,B2B,Business development,Bengaluru,"altimeter capital, dst global",Series D,4826.25,2019.0,February
2019-10-21,The Man Company,Consumer Goods,Beauty and Grooming,Gurgaon,ayushmann khurana,Corporate Round,0.0,2019.0,October
2019-05-09,FPL Technologies,FinTech,Financial Services,Pune,"matrix partners india, sequoia india",Maiden Round,37.125,2019.0,May
2019-04-09,Cashflo,FinTech,Invoice discounting platform and SME lending marketplace,Mumbai,saif partners,Series A,27.225,2019.0,April
2019-04-09,Digital F5,"Advertising, Marketing",Digital marketing firm,Mumbai,tiw private equity,Private Equity Round,49.5,2019.0,April
2019-04-09,3rdFlix,SaaS,Education Technology,Hyderabad,exfinity venture partners,pre-series A,41.25,2019.0,April
2019-04-09,75F,IoT,Building automation system,Burnsville,breakthrough energy ventures,Series A,148.5,2019.0,April
2019-04-09,Myelin Foundry,Information Technology,Deep-technology,Bengaluru,endiya partners,Seed,8.25,2019.0,April
2019-04-09,Atomberg Technology,Consumer Technology,"Consumer Electronics, Home Appliances",Mumbai,a91 partners,Series A,82.5,2019.0,April
2019-04-09,GOQii,Health and Wellness,Wearable Fitness Bands,Menlo Park,bennett coleman and company ltd (bccl),Series C,3712.5,2019.0,April
2019-03-09,Vyapar App,Accounting,Mobile-based Accounting Software,Bengaluru,"india quotient, axilor ventures",Series A,41.25,2019.0,March
2019-01-08,CarDekho,E-Commerce,Automotive,Gurgaon,sc gg india mobility holdings llc,Series C,165.0,2019.0,January
2019-01-08,Progcap,Finance,Supply Chain Management,New Delhi,sequoia india,Series A,41.25,2019.0,January
2019-01-08,MyPetrolPump,Retail,Fuel Delivery,Bengaluru,unknown,Seed Funding Round,13.2,2019.0,January
2019-01-08,Alteria Capital,Finance,VC Funds,Mumbai,"azim premji, binny bansal",Single Venture,1155.0,2019.0,January
2019-01-08,Pine Labs,Information Technology,Last-mile retail transaction technology,Noida,pine labs pte ltd,Corporate Round,314.16,2019.0,January
2019-12-08,Meesho,E-Commerce,Social Commerce,Bengaluru,naspers,Series D,1031.25,2019.0,December
2019-08-13,Cars24,E-Commerce,Car Retail,Gurugram,ms dhoni,Series D,90.75,2019.0,August
2019-08-13,Uniphore,Customer Service Platform,Conversational AI,Palo Alto,march capital partners,Series C,420.75,2019.0,August
2019-08-23,Zendrive,Automotive,Road Safety Analytics,San Francisco,xl innovate,Series B,305.25,2019.0,August
2019-08-23,Lo! Foods,Consumer Goods,Low carb food for Diabetics,Bengaluru,"rashmi daga (founder, freshmenu), raveen sastry (co-founder, myntra) and mitesh shah (finance chief, bookmyshow)",Seed Round,4.125,2019.0,August
2019-08-23,Tala,FinTech,Digital Lending Platform,Santa Monica,rps ventures,Series D,907.5,2019.0,August
2019-08-22,INDwealth,FinTech,Wealth Management,Gurgaon,tiger global management,Venture Round,123.75,2019.0,August
2019-08-21,HungerBox,Food and Beverage,B2B Foodtech,Bengaluru,one97 communications ltd.,Series C,54.3675,2019.0,August
2019-08-23,AdmitKard,EdTech,University Admissions,Noida,growth dna,Seed Round,8.25,2019.0,August
2019-08-19,Mishry Reviews,Services,Product Review,Gurgaon,vir sanghvi,Series A,0.0,2019.0,August
2019-08-19,Grofers,E-Commerce,Grocery Delivery,Gurgaon,softbank vision fund,Series F,577.5,2019.0,August
2019-08-27,Rapido Bike Taxi,Transportation,Bike Taxi,Bengaluru,westbridge capital,Series B,32175.0,2019.0,August
2019-02-07,RenewBuy,Finance,Auto Insurance,Gurgaon,"lok capital, iifl wealth",Series B,156.75,2019.0,February
2019-02-07,Atlan,Information Technology,Big Data,Singapore,waterbridge ventures,Pre-Series A,20.625,2019.0,February
2019-01-07,WizCounsel,Compliance,Consulting,New Delhi,kapil dev,Angel,1.19625,2019.0,January
2019-03-07,Ola Cabs,Transport,Cabs,Kormangala,"dig investment ab, deshe holdings, samih toukan and hussam khoury",Series J,8.25,2019.0,March
2019-01-07,Uniphore,Artificial Intelligence,Speech Recognition,Taramani,march capital partners,Series C,314.16,2019.0,January
2019-04-07,Daalchini Technologies,Food and Beverage,Digital Vending Machine,New Delhi,artha venture,Seed Round,4.125,2019.0,April
2019-11-07,Moglix,E-Commerce,Industrial Tools and Equipments,Singapore,"composite capital management, sequoia capital india, tiger global management",Series D,495.0,2019.0,November
2019-10-07,Ezyhaul,Tech,Logistics,Singapore,undisclosed,Series B,132.0,2019.0,October
2019-10-07,Indus OS,Tech,Smartphone Operating System,Andheri,ventureast,Series B,47.4375,2019.0,October
2019-10-07,HealthAssure,Health Care,Primary care medical network,Mumbai,blume ventures,Series A,20.625,2019.0,October
2019-09-07,House of Msasaba,Luxury Label,Clothes and Apparel,Mumbai,binny bansal,Series A,8.25,2019.0,September
2019-08-07,Board Infinity,EdTech,Full-stack career platform,Chembur,multiple angel investors,Angel Round,2.63674125,2019.0,August
2019-05-06,NoBroker,E-Commerce,Real Estate,Bengaluru,general atlantic,Series C,420.75,2019.0,May
2019-04-06,Bira91,Food and Beverage,Brewery,New Delhi,anicut capital,Debt Funding,82.5,2019.0,April
2019-03-06,Avail Finance,Finance,FinTech,Bengaluru,matrix partners,Series A,74.25,2019.0,March
2019-04-06,BharatPe,Finance,FinTech,New Delhi,insight partners,Series B,618.75,2019.0,April
2019-04-06,Recykal,Waste Management Service,Optimization,Hyderabad,"triton investment advisors, pidilite industries director ajay parekh",pre-Series A,214.5,2019.0,April
2019-03-06,Agara Labs,Deep-Tech,Artificial Intelligence,Bengaluru,blume ventures and rtp global,pre-Series A,20.625,2019.0,March
2019-06-06,Chakr Innovation,Energy,Renewable Energy,New Delhi,ian fund,Series A,214.5,2019.0,June
2019-10-06,Bolo App,Digital Media,Video Platform,Bengaluru,nexus venture partners,Seed Funding,3.54915,2019.0,October
2019-10-06,OkCredit,FinTech,Financial Services,Haryana,tiger global management,Series A,127.875,2019.0,October
2019-06-06,Biz2Credit,FinTech,Online Lending Platform,New York,westbridge capital,Series B,429.0,2019.0,June
2019-08-06,Vogo Automotive Pvt. Ltd.,Transportation,Dockless Scooter Rental Company,Karnataka,alteria capital,Debt Funding,29.568,2019.0,August
2019-04-06,Leegality,Services,Digital Documentation,Mumbai/Bengaluru,mumbai angels,Series A,28.05,2019.0,April
2019-06-05,Ola Electric,Transport,Cabs,Bengaluru,tata sons,Series A,0.0,2019.0,June
2019-06-05,Saahas Zero Waste,Waste Management Service,Optimization,Bengaluru,c4d partners,Venture - Series Unknown,7.16595,2019.0,June
2019-05-05,StyleDotMe,E-commerce,Fashion and Shopping,Delhi,"indian angel network and other angel investors, innov8 founder ritesh malik, josh talks founders supriya paul and shobha banga, and former hero corporate president rohit chanana",Bridge Round,0.0,2019.0,May
2019-01-05,BlackBuck,Transport,Logistics,Bengaluru,"goldman sachs investment partners and silicon valley-based accel, wellington, sequoia capital, b capital, lightstreet, sands capital and international finance corporation,",Series D,1237.5,2019.0,January
2019-02-05,Zenoti,Saas,Beauty and Wellness Industry,Hyderabad,tiger global management,Series C,412.5,2019.0,February
2019-05-28,Ather Energy,Automobile,Electric Vehicle,Bengaluru,sachin bansal,Series C,420.75,2019.0,May
2019-05-28,FreshVnF,Agtech,Fresh Agriculture Produces,Mumbai,equanimity ventures,Seed Round,1155.0,2019.0,May
2019-05-30,GlowRoad,E-commerce,Retail,Bengaluru,"korea investment partners, vertex ventures",Series B,94.875,2019.0,May
2019-05-31,Bira91,Food and Beverage,Brewery,New Delhi,sixth sense ventures,Series B,46.2,2019.0,May
2019-04-16,Kuvera,Finance,Wealth Management,Bengaluru,eight roads,Series A,371.25,2019.0,April
2019-12-04,Medlife,E-commerce,Online Medicine,Bengaluru,prasid uno family trust,Private Equity,140.25,2019.0,December
2019-10-04,Kabadiwala,E-commerce,Waste Management,Bhopal,"unilever, beehive capital advisor, abcom investments, parekh marine transport,",Private Equity,3.55298625,2019.0,October
2019-04-13,Tripoto,Social Media,Travel,New Delhi,"orchid india, hornbill orchid india fund, chiratae ventures (formerly idg ventures), 3one4 capital, lasmer nv",Series B,29.62884375,2019.0,April
2019-12-04,Azah,Health and Wellness,Organic wellness,Gurugram,unnamed angel investors,Seed Funding,1.65,2019.0,December
2019-11-04,Setu,Fintech,Banking,Bengaluru,lightspeed india partners,Seed Funding,28.875,2019.0,November
2019-10-04,Toppr,Edtech,E-learning,Mumbai,milestone,Debt and Preference capital,52.146765,2019.0,October
2019-10-04,Craftsvilla,E-commerce,Fashion and Apparel,Mumbai,supera pte ltd,Inhouse Funding,20.15883375,2019.0,October
2019-10-04,Unacademy,Edtech,E-learning,Bengaluru,kalyan krishnamurthy,Seed/ Angel Funding,2.53275,2019.0,October
2019-11-04,CleverTap,SaaS,Mobile analytics and marketing,Mumbai,"sequoia india, tiger global management, accel partners",Series B,214.5,2019.0,November
2019-04-19,My Healthcare,E-commerce,Software Solutions,Bengaluru and Gurugram,sixth sense ventures,Series A,24.75,2019.0,April
2019-04-17,Shuttl,Transportation,Bus Aggregation,Gurugram,new atlantic ventures,Venture Round,41.25,2019.0,April
2019-04-17,Increff,Technology,Supply-chain technology solutions,Bengaluru,"021 capita, binny bansal",Series A,24.75,2019.0,April
2019-01-02,FleetX,AI,Logistics,Gurgaon,india quotient and letsventure\\xe2\\x80\\x99s angel fund,Pre Series A,0.0,2019.0,January
2019-08-02,Zilingo,Ecommerce,Fashion & Apparel,India/Singapore,"sequoia capital and temasek holdings, edbi, burda principal investments, and sofina",Series D,1864.5,2019.0,August
2019-02-13,NanoClean Global,Nanotechnology,Anti-Pollution,New Delhi,"letsventure, pitchright venture, 91springboard, al nour international holdings and mark v investments",Series A,4.95,2019.0,February
2018-02-14,OyoRooms,Hospitality,Budget Rooms,Gurgaon,didi chuxing,Equity,825.0,2018.0,February
2019-03-01,CarDekho,Automobile,Online Marketplace,Jaipur,"sequoia india, hillhouse capital, alphabet\\xe2\\x80\\x99s growth investment arm capital g and axis bank",Series C,907.5,2019.0,March
2019-04-01,Vyome Therapeutics Inc.,Health and Wellness,Specialty pharmaceutical,India/US,"iron pillar, perceptive advisors, romulus capital and kalaari capital",Series D,181.5,2019.0,April
2019-04-01,Samunnati Financial Intermediation & Services Pvt. Ltd,Finance,Non-banking financial company,Chennai,"massif, a dutch government fund",Debt-Funding,41.25,2019.0,April
2018-04-12,Manch,Social Media,Hyperlocal Content,Delhi,stellaris venture partners,Seed Funding,5.775,2018.0,April
2018-01-12,UrbanClap Technologies Pvt. Ltd,Services Platform,Home services marketplace,New Delhi,steadview capital and vy capital.,Series D,412.5,2018.0,January
2018-02-12,Guiddoo,Travel Tech,Platform for travel agents,Mumbai,individual investors,Pre-Series A,6.6,2018.0,February
2018-02-12,Career Anna,Online Education,"Video-based certification, trainings",Gurugram,individual investors,Pre-Series A,4.719,2018.0,February
2018-04-12,Nagpur Wholesale,Online Marketplace,eCommerce,Nagpur,omphalos ventures india llp,Seed Funding,1.17975,2018.0,April
2018-06-12,ShopKirana,B2B,eCommerce,Indore,"info edge, aet fund, akatsuki and incubate fund from japan and better capital angellist syndicate.",Seed Funding,16.5,2018.0,June
2018-06-12,BuildSupply,"SaaS, Ecommerce","Real Estate, ERP",Gurugram,"venture highway, gree ventures, space matrix, individual investors",Series A,28.875,2018.0,June
2018-01-11,GoDesi,Food and Beverage,Regional Flavours,Bengaluru,lead angels network,Seed/ Angel Funding,1.14670875,2018.0,January
2018-03-11,Veritas Finance Ltd.,NBFC,MSME Finance,Chennai,"norwest venture partners, cdc group, the uk\\xe2\\x80\\x99s development finance institution and p surendra pai",Series D,229.34175,2018.0,March
2018-06-11,Meesho,Ecommerce,Social Commerce,Bengaluru,"shunwei capital, dst partners and rps ventures",Series C,412.5,2018.0,June
2018-08-11,Mobile Premier League,Gaming,Mobile e-Sports,Bengaluru,undisclosed,Series A,4.125,2018.0,August
2018-08-11,A&R Bon Vivants,Food,Meat Retail Chain,Jaipur,"rb investments, singapore",Equity,8.25,2018.0,August
2018-12-11,Blackbuck,Food Tech,POS For Online Ordering,"New York, Bengaluru",tiger global,Series A,8.25,2018.0,December
2018-12-11,MilkBAsket,Food,Micro-delivery grocery service,New Delhi,mayfield fund,Series B,10.725,2018.0,December
2018-11-13,DriveU,Transport,On-Demand Drivers,Bengaluru,stevens creek ventures,Mezzanine,8.25,2018.0,November
2018-11-14,CleanseCar,Services,Car Wash,Bengaluru,venture catalysts,Seed/ Angel Funding,4.125,2018.0,November
2018-11-19,Automation Anywhere,Automation,Robotics,California,softbank vision fund,Series B,2475.0,2018.0,November
2018-11-20,HealthifyMe,Health and Wellness,Wellness Coach,Bengaluru,"sistema asia fund, vc samsung next, chiratae ventures, inventus capital, blume ventures and innoven capital.",Series B (Extension),49.5,2018.0,November
2018-11-21,Genius Corner,Education,Personalized Learning,Noida,individual investors,Seed Funding,2.2935,2018.0,November
2018-11-22,Aavishkaar-Intellecap Group,Investment,SME Funding,Mumbai,teachers insurance and annuity association (tiaa),Equity Based Funding,255.75,2018.0,November
2018-11-22,Skillbox,Social Network,Art,Gurugram,individual investors,Seed Funding,0.0,2018.0,November
2018-11-23,Signzy,Financial Tech,Digital Onboarding Solution,Mumbai/Bengaluru,"stellaris venture partners and kalaari capital, rajan anandan from google, dilip khandwelwal from sap labs india, and amrish rau from payu india",Series A,28.05,2018.0,November
2018-11-24,Engineer.ai,Software,AI Platform,India/US,"lakestar and jungle ventures, softbank\\xe2\\x80\\x99s deepcore.",Series A,243.375,2018.0,November
2018-11-25,InCred Finance,Finance,SME Lending,India,"paragon partners, individual investors",Private Equity,346.5,2018.0,November
2018-11-25,Roposo,Social Media,Video Sharing,Delhi,bertelsmann india investments,Series B,14.025,2018.0,November
2018-01-10,Northmist,Fashion,Mens Wear,Delhi,prashant jaiswal,Seed/ Angel Funding,0.0,2018.0,January
2018-02-10,Origo Commodities India Pvt. Ltd,Logistics,Supply Chain,Hyderabad,"cooperative oikocredit, caspian and hivos-triodos fund",Seed/ Angel Funding,90.75,2018.0,February
2018-04-10,Grover Zampa,Food,Wine,Mumbai,ravi viswanathan,Private Equity,67.65,2018.0,April
2018-05-10,Droom,Automobile,New and Used Cars Platform,Gurgaon,zigexn,Series E,24.75,2018.0,May
2018-11-10,Innov8,Real Estate,Co-Working,New Delhi,credence family office,Pre-Series A,33.0,2018.0,November
2018-12-10,Blackbuck,Logistics Tech,Largest Trucking Platform,Bengaluru,sequoia capital india,Private Funding,121.11,2018.0,December
2018-12-10,LetsTransport,Logistics Tech,Book Trucks Online,Bengaluru,fosun international,Series C,99.0,2018.0,December
2018-01-09,Netmeds,Consumer Internet,Online Pharmacy Chain,Chennai,"sistema asia fund, sistema jsfc and tanncam investment",Private Equity,288.75,2018.0,January
2018-03-09,Udaan,B2B Platform,Logistics and Shipping,Bengaluru,dst global and lightspeed venture partners\\xe2\\x80\\x99 global fund.,Private Equity,1856.25,2018.0,March
2018-03-09,Daily hunt,Consumer Internet,News and ebooks Mobile App\\xc2\\xa0,Bengaluru,falcon edge,Private Equity,52.7175,2018.0,March
2018-04-09,3HCare,Healthcare,Healthcare Service Provider,Delhi,unknown,Seed / Angel Funding,8.25,2018.0,April
2018-04-09,HappyGoEasy,Consumer Internet,Online Travel Agecy,Gurugram,"korea investment partners (kip), samsung and china-based citic capital and others",Private Equity,0.0,2018.0,April
2018-05-09,Nykaa,Consumer Internet,Online Marketplace For Multi-brand Beauty Cosmetic and Wellness Products,Mumbai,lighthouse,Private Equity,1296.9,2018.0,May
2018-05-09,Mad Street Den,Technology,Computer Vision And Artificial Intelligence (Ai) Platform,Chennai,kddi\\xc2\\xa0,Private Equity,0.0,2018.0,May
2018-06-09,Dream11,Consumer Internet,Online Gaming Platform,Mumbai,"tencent, kalaari capital and private equity firm multiples alternate asset management",Private Equity,825.0,2018.0,June
2018-10-09,MamaEarth,Healthcare,Online Marketplace For Mother and Babycare Products,Gurugram,stellaris ventures & others,Private Equity,33.0,2018.0,October
2018-11-09,AutoGrid,Technology,AI-Based Energy Optimisation and Control Provider,Bengaluru,"clp holdings group, innogy, \\xc3\\x98rstead, and tenaska",Private Equity,264.0,2018.0,November
2018-11-09,Pharmeasy,Consumer Internet,Online Marketplace For Pharmaceutical Products,Mumbai,innoven capital,Debt Funding,45.375,2018.0,November
2018-11-09,Upwards,Fin-Tech,Online Micro Lending Marketplace,Mumbai,"shunwei capital,quotient, mayfield & others",Private Equity,41.25,2018.0,November
2018-12-09,Kissht,Fin-Tech,Online lending Platform,Mumbai,"vertex ventures southeast asia (sea) and india and sistema asia fund, fosun rz capital, ventureast, and endiya partners.\\n\\n",Private Equity,247.5,2018.0,December
2018-01-08,dishq,Food-Tech,Personalisation Technology Firm Focusing On The Food And Beverage Industry,Bengaluru,"farm to fork, arts alliance, the syndicate fund, sven hensen, zeroth and artesian venture partners",Seed/ Angel Funding,3.3,2018.0,January
2018-01-08,HealthFin,Finance,Patient Financing Platform,Pune,"axilor, sprout venture partners and others",Seed/ Angel Funding,0.0,2018.0,January
2018-02-08,Samosa Labs,Consumer Internet,Social Media and Chat Entertainment Platform,Hyderabad,xiaomi and sequoia capital india,Private Equity,57.75,2018.0,February
2018-03-08,ZiffyHomes,Consumer Internet,Online Home Rental Marketplace,Gurugram,y combinator,Private Equity,0.99,2018.0,March
2018-07-08,My OmNamo,Consumer Internet,Holy Platform Offering Customised Puja Packages To Individuals and Corporates,Mumbai,unknown,Seed/ Angel Funding,8.25,2018.0,July
2018-07-08,ShopX,Consumer Internet,Assisted E-commerce Platform,Bengaluru,fung strategic holdings,Private Equity,288.75,2018.0,July
2018-07-08,MakeMyTrip,Consumer Internet,Online Travel Aggregator,Gurugram,makemytrip limited,Private Equity,82.5,2018.0,July
2018-08-08,Hansel io,Consumer Internet,Real-time Mobile App Management,Bengaluru,vertex ventures,Seed/ Angel Funding,33.0,2018.0,August
2018-08-08,Metro Bikes,Consumer Internet,Online Bike Rental Marketplace,Bengaluru,"sequoia capital india advisors, accel partners and g raghunandan",Private Equity,100.65,2018.0,August
2018-08-08,Phone Pe,Consumer Internet,UPI Payments App,Bengaluru,flipkart,Private Equity,544.5,2018.0,August
2018-09-08,quizizz,Ed-Tech,e-learning Platform,Bengaluru,"nexus venture partners, prime venture partners and others",Seed/ Angel Funding,24.75,2018.0,September
2018-09-08,Happy EMI,Fin-Tech,Consumer Financing Platform,Bengaluru,aj ventures and jain international trade organisation (jito),Seed/ Angel Funding,8.25,2018.0,September
2018-08-13,Inthree,Consumer Internet,Rural E-commerce Platform,Chennai,"ventureast, orios venture partners and the ian fund",Seed/ Angel Funding,33.0,2018.0,August
2018-08-13,Observe AI,Technology,AI Based Solutions Platform,Bengaluru,"nexus venture partners, mgv, liquid 2 ventures, hack vc, emergent ventures and y combinator",Private Equity,66.0,2018.0,August
2018-08-16,Enakshi,Consumer Internet,AI Based Solutions Platform,Ahemadabad,unknown,Seed/ Angel Funding,0.94719075,2018.0,August
2018-08-17,EazyDiner,Consumer Internet,Online Restaurant Table Reservation Platform,Gurugram,denlow investment trust and beenext,Private Equity,48.2625,2018.0,August
2018-08-20,Finzy,Finance,Online Loan Matchmaking Platform,Bengaluru,unknown,Seed / Angel Funding,8.25,2018.0,August
2018-08-20,RawPressery,Consumer Internet,Online Organic Juice Delivery Service,Mumbai,alteria capital,Debt Funding,39.6,2018.0,August
2018-08-22,Pi Ventures,Technology,Applied Artificial Intelligence and IoT focused\\xc2\\xa0Platform,Bengaluru,cdc group plc\\xc2\\xa0,Private Equity,49.5,2018.0,August
2018-08-22,Revv,Consumer Internet,Online Indian Car Rental Platform,Gurugram,"hyundai, edelweiss and beenext, dream incubator, sunjay kapoor and telama investment",Private Equity,117.7275,2018.0,August
2018-08-26,ZestMoney,Consumer Internet,Online Lending Platform,Bengaluru,"xiaomi,payu, ribbit capital and omidyar network",Private Equity,110.55,2018.0,August
2018-08-26,Shubh Loans,Fin-Tech,\\xc2\\xa0Customer Sourcing Platform\\xc2\\xa0,Bengaluru,"saama capital, sri capital, beenext, and pravega ventures",Private Equity,34.65,2018.0,August
2018-08-27,MyUpchar,Healthcare,Local Language Health Content App,Delhi,"nexus venture partners, omidyar network and shunwei capital",Private Equity,41.25,2018.0,August
2018-08-28,Narvar,IT,Post-Purchase Customer Engagement Platform\\xc2\\xa0,Bengaluru,accel (formerly known as accel partners),Private Equity,24.75,2018.0,August
2018-08-30,True North,Finance,Private Equity Firm,Mumbai,unknown,Private Equity,4950.0,2018.0,August
2018-01-07,Leena AI,Technology,HR Virtual Agent For Employees,Gurugram,y combinator,Seed/ Angel Funding,0.0,2018.0,January
2018-02-07,Biryani By Kilo,Consumer Internet,Online Food Delivery,Gurugram,ajay relan and vinay mittal,Seed/ Angel Funding,8.25,2018.0,February
2018-04-07,Anchanto,IT,E-commerce Fulfilment Platform,Pune,mdi ventures & telkom indonesia,Private Equity,33.0,2018.0,April
,Loan Tap,Consumer Internet,Online Lending Platform For Salaried Professionals,Mumbai,"shunwei capital, tuscan ventures, ashish goenka, vc firms india quotient and kae capital",Private Equity,51.5625,,
2018-06-07,PolicyBazaar,Consumer Internet,Online Insurance Selling Platform,Gurugram,info edge (india) ltd and temasek,Private Equity,228.525,2018.0,June
2018-09-07,zippserv,Consumer Internet,Online Platform For Risk-Assessment Services For Real Estate Investments,Bengaluru,info edge (india) ltd,Seed/ Angel Funding,3.63,2018.0,September
2018-09-07,Groww,Consumer Internet,Online Platform That Sells Direct Plans Of Mutual Funds,Bengaluru,"insignia ventures partners, lightbridge partners & kairos",Seed/ Angel Funding,9.075,2018.0,September
2018-10-07,Avenue Growth,Consumer Internet,Online Platform That Connects Brands With Freelance Sales Professionals,Gurugram,"avtar monga, chief operating office at idfc bank, aditya malik & others",Seed/ Angel Funding,3.60525,2018.0,October
2018-10-07,iNICU,Healthcare,Med-tech Platform Providing Care For Newborns,Delhi,venture catalysts,Seed/ Angel Funding,0.0,2018.0,October
2018-10-07,Kinara Capital,Finance,Lending Platform For Micro and Small Enterprises,Bengaluru,responsability,Private Equity,41.25,2018.0,October
2018-10-07,Shop 101,Consumer Internet,Mobile Storefront And Commerce Platform For Sellers,Mumbai,"stellaris venture partners, vy capital, raghunandan g, and ramakant sharma",Private Equity,41.25,2018.0,October
2018-11-07,Sambandh,Consumer Internet,Online Micro Lending Platform,Rourkela,base of pyramid asia (bopa) pte ltd,Private Equity,20.625,2018.0,November
2018-12-07,19th mile,IT,Artificial intelligence-based sales acceleration software platform,Gurugram,"rishi vasudev, excelsior investments, ritesh vohra, praveer kumar, prashant gupta and others",Seed/ Angel Funding,1.485,2018.0,December
2018-12-07,5th Vital,Healthcare,Home diagnostics services provider,Bengaluru,brand capital and others,Seed/ Angel Funding,4.125,2018.0,December
2018-07-13,MEngage,Healthcare,A Doctor-Patient Engagement Platform,Jaipur,"siddharth agarwal, mahavir sharma, amit singal, 100 co-founders lab and others.",Seed/ Angel Funding,1.44375,2018.0,July
2018-07-17,Ofbusiness,Finance,Online Lending Platform For SME,Gurugram,"creation investments, falcon edge, matrix partners india and zodius capital",Private Equity,239.25,2018.0,July
2018-07-17,Cars24,Consumer Internet,Online Used Car Marketplace,Gurugram,"kingsway fci fund, kck global & others",Private Equity,410.025,2018.0,July
2018-07-18,The Ken,Consumer Internet,Subscription-Only News Website,Bengaluru,omidyar network & others,Seed/ Angel Funding,12.375,2018.0,July
2018-07-19,Book My Show,Consumer Internet,Online Ticketing Platform,Mumbai,"tpg growth, the rise fund & others",Private Equity,825.0,2018.0,July
